order_id,create_date,decision,is_active,order_type,request_body,client_id,employee_id,ordering_employee_id
80,2022-01-09 11:25:21.784000,inProgress,true,Modyfikacja użytkownika,"{""email"": ""dominik.grudzien00+1@gmail.com"", ""locked"": false, ""userId"": 11, ""enabled"": true, ""password"": ""$2a$10$PdcYigKRGg.jeuIrm5YfpeR.b/AqUJb6fDkFJA4U9KpbeGrN6lL66"", ""username"": ""shanodis01s"", ""appUserRole"": ""CLIENT"", ""authorities"": [{""authority"": ""ROLE_CLIENT""}], ""accountNonLocked"": true, ""accountNonExpired"": true, ""credentialsNonExpired"": true}",6,,
84,2022-01-09 17:08:06.174000,accepted,false,Podanie o kredyt,"{""client"": {""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 7011.543, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska 6"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}, ""loanId"": null, ""isActive"": true, ""commission"": 1000, ""numOfRates"": 24, ""rateAmount"": 616.92706, ""toRepaidOff"": 14806.25, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-09"", ""penaltyAmount"": 0, ""interestAmount"": 4806.25, ""nextRatePayDay"": ""2022-02-09"", ""ratesLeftToPay"": 24, ""basicLoanAmount"": 10000, ""basicRateAmount"": 616.92706, ""estimatedEndDate"": ""2024-01-09"", ""initialRatesNumber"": 24, ""yearlyInterestPercent"": 17.5}",6,5,
23,2022-01-06 18:26:00.962000,denied,false,Wycofanie karty kredytowej,"""{\""cardId\"":4,\""isActive\"":false,\""cardNumber\"":\""36345367452\"",\""expireDate\"":[2024,9,1],\""cvvNumber\"":626,\""pinNumber\"":8008,\""cardImage\"":\""string\""}""",6,1,
51,2022-01-08 15:26:25.319000,denied,false,Podanie o kredyt,"{""client"": {""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5714.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": [2000, 12, 2], ""homeAddress"": ""ul. Czarnowska"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}, ""loanId"": null, ""isActive"": true, ""commission"": 250, ""numOfRates"": 10, ""rateAmount"": -732.6619, ""toRepaidOff"": -7326.619, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-08"", ""penaltyAmount"": 0, ""interestAmount"": -9826.619, ""nextRatePayDay"": ""2022-02-08"", ""ratesLeftToPay"": 10, ""basicLoanAmount"": 2500, ""basicRateAmount"": -732.6619, ""estimatedEndDate"": ""2022-11-08"", ""initialRatesNumber"": 10, ""yearlyInterestPercent"": 17.5}",6,1,
85,2022-01-09 17:16:05.535000,accepted,false,Podanie o kredyt,"{""client"": {""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 17011.543, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska 6"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}, ""loanId"": null, ""isActive"": true, ""commission"": 2000, ""numOfRates"": 36, ""rateAmount"": 956.7969, ""toRepaidOff"": 34444.688, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-09"", ""penaltyAmount"": 0, ""interestAmount"": 14444.6875, ""nextRatePayDay"": ""2022-02-09"", ""ratesLeftToPay"": 36, ""basicLoanAmount"": 20000, ""basicRateAmount"": 956.7969, ""estimatedEndDate"": ""2025-01-09"", ""initialRatesNumber"": 36, ""yearlyInterestPercent"": 17.5}",6,1,
69,2022-01-08 20:39:17.257000,inProgress,true,Modyfikacja użytkownika,"{""email"": ""dominik.grudzien00+1@gmail.com"", ""locked"": false, ""userId"": 11, ""enabled"": true, ""password"": ""$2a$10$PdcYigKRGg.jeuIrm5YfpeR.b/AqUJb6fDkFJA4U9KpbeGrN6lL66"", ""username"": ""shanodis012"", ""appUserRole"": ""CLIENT"", ""authorities"": [{""authority"": ""ROLE_CLIENT""}], ""accountNonLocked"": true, ""accountNonExpired"": true, ""credentialsNonExpired"": true}",6,,
70,2022-01-08 20:39:39.523000,inProgress,true,Modyfikacja użytkownika,"{""email"": ""dominik.grudzien00+1@gmail.com"", ""locked"": false, ""userId"": 11, ""enabled"": true, ""password"": ""$2a$10$PdcYigKRGg.jeuIrm5YfpeR.b/AqUJb6fDkFJA4U9KpbeGrN6lL66"", ""username"": ""shanodis012"", ""appUserRole"": ""CLIENT"", ""authorities"": [{""authority"": ""ROLE_CLIENT""}], ""accountNonLocked"": true, ""accountNonExpired"": true, ""credentialsNonExpired"": true}",6,,
75,2022-01-08 21:36:51.637000,accepted,false,Edycja danych klienta,"{""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5487.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska 6"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}",6,5,
68,2022-01-08 20:34:39.657000,denied,false,Edycja danych klienta,"{""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 5714.23, ""secCity"": ""Częstochowa"", ""clientId"": 6, ""fullName"": ""Michał Bryga"", ""postalCode"": ""21-292"", ""dateOfBirth"": [2000, 12, 2], ""homeAddress"": ""ul. Czarnowska"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}",6,5,
81,2022-01-09 13:05:36.826000,inProgress,true,Edycja danych klienta,"{""city"": ""Małogoszcz"", ""email"": ""dominik.grudzien00+1@gmail.com"", ""balance"": 17801.855, ""secCity"": ""Częstochow"", ""clientId"": 6, ""fullName"": ""Michał Tester"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-02"", ""homeAddress"": ""ul. Czarnowska 6"", ""accountNumber"": ""66666666666666666666666667"", ""secPostalCode"": ""78-092"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202472"", ""secHomeAddress"": ""ul. Ulowa"", ""identificationNumber"": ""328721379"", ""numberOfCreditsCards"": 1}",6,,
82,2022-01-09 13:07:20.400000,accepted,false,Podanie o kredyt,"{""client"": {""city"": ""Kielce"", ""email"": ""dominik.grudzien00@gmail.com"", ""balance"": 3586.23, ""secCity"": ""Warszawa"", ""clientId"": 5, ""fullName"": ""Dominik Grudzień"", ""postalCode"": ""21-292"", ""dateOfBirth"": ""2000-12-01"", ""homeAddress"": ""ul. Malinowa"", ""accountNumber"": ""66666666666666666666666666"", ""secPostalCode"": ""78-090"", ""dateOfCreation"": ""2021-12-05T00:00:00.000"", ""personalNumber"": ""82749202471"", ""secHomeAddress"": ""ul. Miodowa"", ""identificationNumber"": ""328721378"", ""numberOfCreditsCards"": 0}, ""loanId"": null, ""isActive"": true, ""commission"": 300, ""numOfRates"": 33, ""rateAmount"": 152.06999, ""toRepaidOff"": 5018.3096, ""totalPaidOff"": 0, ""concludedDate"": ""2022-01-09"", ""penaltyAmount"": 0, ""interestAmount"": 2018.3096, ""nextRatePayDay"": ""2022-02-09"", ""ratesLeftToPay"": 33, ""basicLoanAmount"": 3000, ""basicRateAmount"": 152.06999, ""estimatedEndDate"": ""2024-10-09"", ""initialRatesNumber"": 33, ""yearlyInterestPercent"": 17.5}",5,1,
41,2022-01-06 21:46:14.444000,accepted,false,Utworzenie użytkownika,"{""email"": ""halo@op.pl"", ""password"": ""sdfsgdsfhgdrfh1431"", ""username"": ""12414bdfgfgd"", ""appUserRole"": ""CLIENT""}",,1,2
